vipState,online,sort,name,opId,coverUrl,id
0,1,1,subscribe,subscribe_202204,sticker/tab/previews/subscribe_202204.png,9c8d9864-cf43-11ec-823f-acde48001122
0,1,11,appicons,appicons_202205,sticker/tab/previews/appicons_202205.png,9c8d9a76-cf43-11ec-823f-acde48001122
0,1,14,arrows,arrows_202205,sticker/tab/previews/arrows_202205.png,9c8d9ab2-cf43-11ec-823f-acde48001122
0,0,50,brasilcarnival,brasilcarnival_202204,sticker/tab/previews/brasilcarnival_202204.png,9c8d9ae4-cf43-11ec-823f-acde48001122
0,1,30,easter,easter_202205,sticker/tab/previews/easter_202205.png,9c8d9b3e-cf43-11ec-823f-acde48001122
0,1,13,effects,effects_202205,sticker/tab/previews/effects_202205.png,9c8d9b66-cf43-11ec-823f-acde48001122
0,1,31,eid,eid_202204,sticker/tab/previews/eid_202204.png,9c8d9b8e-cf43-11ec-823f-acde48001122
0,1,25,family,family_202205,sticker/tab/previews/family_202205.png,9c8d9bb6-cf43-11ec-823f-acde48001122
0,1,24,food,food_202205,sticker/tab/previews/food_202205.png,9c8d9bde-cf43-11ec-823f-acde48001122
0,1,16,ily,ily_202204,sticker/tab/previews/ily_202204.png,9c8d9c06-cf43-11ec-823f-acde48001122
0,1,10,like,like_202204,sticker/tab/previews/like_202204.png,9c8d9c2e-cf43-11ec-823f-acde48001122
0,1,20,music,music_202205,sticker/tab/previews/music_202205.png,9c8d9c6a-cf43-11ec-823f-acde48001122
3,1,12,social,social_202205,sticker/tab/previews/social_202205.png,9c8d9c92-cf43-11ec-823f-acde48001122
3,1,29,spring,spring_202204,sticker/tab/previews/spring_202204.png,9c8d9cba-cf43-11ec-823f-acde48001122
3,1,22,weather,weather_202205,sticker/tab/previews/weather_202205.png,9c8d9ce2-cf43-11ec-823f-acde48001122
0,1,23,pride,pride_202206,sticker/tab/previews/pride_202206.png,b63ff764-dce7-11ec-b202-acde48001122
0,1,21,coffee,coffee_202206,sticker/tab/previews/coffee_202206.png,b63ff78c-dce7-11ec-b202-acde48001122
0,1,2,frames,frames_202206,sticker/tab/previews/frames_202206.png,61d5c220-e8a5-11ec-84da-acde48001122
3,1,27,sports,sports_202206,sticker/tab/previews/sports_202206.png,61d5c248-e8a5-11ec-84da-acde48001122
3,1,8,vaporwave,vaporwave_202206,sticker/tab/previews/vaporwave_202206.png,61d5c298-e8a5-11ec-84da-acde48001122
0,1,17,backtoschool,backtoschool_202206,sticker/tab/previews/backtoschool_202206.png,61d5c2c0-e8a5-11ec-84da-acde48001122
3,1,19,girlish,girlish_202206,sticker/tab/previews/girlish_202206.png,61d5c2e8-e8a5-11ec-84da-acde48001122
0,1,26,summer,summer_202206,sticker/tab/previews/summer_202206.png,61d5c310-e8a5-11ec-84da-acde48001122
3,1,18,baking,baking_202207,sticker/tab/previews/baking_202207.png,e1b1b52a-0e62-11ed-908c-acde48001122
0,1,7,buzzword,buzzword_202207,sticker/tab/previews/buzzword_202207.png,e1b1b55c-0e62-11ed-908c-acde48001122
0,1,15,cartoon,cartoon_202207,sticker/tab/previews/cartoon_202207.png,e1b1b58e-0e62-11ed-908c-acde48001122
0,1,3,emoji_animation,emoji_animation_202207,sticker/tab/previews/emoji_animation_202207.png,e1b1b5b6-0e62-11ed-908c-acde48001122
0,0,100,independenceday,independenceday_202207,sticker/tab/previews/independenceday_202207.png,e1b1b5f2-0e62-11ed-908c-acde48001122
3,1,28,shopping,shopping_202207,sticker/tab/previews/shopping_202207.png,e1b1b624-0e62-11ed-908c-acde48001122
0,1,6,birthday,birthday_202206,sticker/tab/previews/birthday_202206.png,22f8bb5a-179b-11ed-9ffe-b29c4ad11d65
3,1,5,thuglife,thuglife_202206,sticker/tab/previews/thuglife_202206.png,22f8bba0-179b-11ed-9ffe-b29c4ad11d65
0,1,9,neon,neon_202206,sticker/tab/previews/neon_202206.png,22f8bbc8-179b-11ed-9ffe-b29c4ad11d65
0,0,100,emoji_alt,emoji_alt_202207,sticker/tab/previews/emoji_alt_202207.png,22f8bbfa-179b-11ed-9ffe-b29c4ad11d65
0,1,4,effectscolor,effectscolor_202208,sticker/tab/previews/effectscolor_202208.png,fa6825e0-1f8d-11ed-a7a3-acde48001122
